主题编号,词语,权重
1,速度,0.0319
1,电池,0.0193
1,电车,0.0154
1,油车,0.0141
1,碰撞,0.0139
1,不行,0.0138
1,起火,0.0135
1,刹车,0.0128
1,小米,0.0128
1,问题,0.0115
1,减速,0.0113
1,自动,0.0102
1,不了,0.0101
1,自燃,0.0097
1,比亚迪,0.0093
1,产品,0.0092
1,小米SU7,0.009
1,识别,0.009
1,智驾,0.009
1,公里,0.0088
2,华为,0.0318
2,车祸,0.0237
2,确实,0.0226
2,出来,0.0225
2,人家,0.0216
2,小米,0.0215
2,别人,0.0187
2,米粉,0.0175
2,你们,0.0174
2,知道,0.0147
2,现在,0.0144
2,视频,0.0133
2,感觉,0.0121
2,问界,0.0114
2,问题,0.0114
2,有点,0.0113
2,这么,0.011
2,是不是,0.0109
2,智能,0.0108
2,时候,0.0106
3,那么,0.0285
3,不要,0.0253
3,直接,0.0239
3,一下,0.0221
3,这么,0.0201
3,为啥,0.0134
3,出事,0.0125
3,理解,0.0119
3,标准版,0.0116
3,其实,0.0112
3,主要,0.0109
3,三个,0.0108
3,高速,0.0103
3,提前,0.01
3,爆燃,0.01
3,企业,0.0099
3,最后,0.0095
3,还有,0.0095
3,垃圾,0.0093
3,清楚,0.0092
4,小米,0.1184
4,家属,0.0255
4,事故,0.023
4,雷军,0.0157
4,联系,0.0144
4,现在,0.0141
4,流量,0.0131
4,出来,0.0129
4,他们,0.0123
4,su7,0.0116
4,车企,0.0115
4,营销,0.0111
4,结果,0.0096
4,宣传,0.0095
4,我们,0.0095
4,这么,0.009
4,保险,0.0086
4,不用,0.0083
4,品牌,0.0082
4,雷总,0.0081
5,车门,0.0295
5,知道,0.0246
5,打不开,0.021
5,开车,0.021
5,手机,0.0193
5,汽车,0.0186
5,图片,0.0184
5,造谣,0.0174
5,相信,0.0159
5,打开,0.0147
5,查看,0.0142
5,这种,0.0134
5,看到,0.0134
5,估计,0.0132
5,不好,0.0118
5,睡觉,0.0116
5,粉丝,0.0106
5,以为,0.0101
5,两个,0.01
5,另外,0.0099
6,智驾,0.0457
6,问题,0.0245
6,车主,0.024
6,驾驶,0.0219
6,安全,0.0213
6,高速,0.018
6,辅助驾驶,0.0176
6,责任,0.0161
6,司机,0.0159
6,不能,0.0157
6,开车,0.0147
6,驾驶员,0.0143
6,事故,0.0139
6,方向盘,0.0095
6,觉得,0.0093
6,技术,0.0091
6,提醒,0.0088
6,车企,0.0085
6,第一,0.0082
6,生命,0.0079
